sourceNodeId,targetNodeId
13141032,13527122
13142030,13771554
13142217,13544382
13142417,13105339
13142797,14658821
13143152,14558220
13143432,14616613
13145129,13280547
13147254,14287252
13147254,14781096
13147313,13945022
13148820,14513631
13148998,13847820
13149150,13180032
13149348,14836179
13149647,12681010
13149901,13604216
13150215,14791869
13153084,13316005
13153281,12396829
13153287,13400221
13153362,13978836
13154254,13895685
13154357,14495365
13154590,13662890
13154616,14828752
13154641,13112851
13154679,14153873
13154707,13860365
13156833,13372932
13158415,14322142
13158499,14604797
13159147,13822341
13159157,13880012
13163559,13352686
13163626,14130786
13163746,13624410
13163992,13568079
13165907,14723575
13166204,14740795
13166488,14502855
13166488,14742901
13166535,14761791
13166560,14045340
13166724,12445078
13166724,14108189
13167013,14639561
13167090,13722186
13170731,13688798
13171064,14171574
13171339,13901674
13171339,13202554
13171976,13764723
13175051,14695089
13175051,14263968
13175450,13762613
13175570,13492950
13176281,14554363
13177294,13633812
13177408,12815293
13177561,13598792
13177646,13105262
13177656,14458049
13177656,14114143
13177684,14636938
13178301,14548733
13178766,14221778
13178983,13661303
13179193,13598280
13179193,13699140
13179288,14140764
13180032,13149150
13180141,12318951
13180525,13264300
13180525,13311322
13180726,14363751
13181046,14362033
13181603,14812190
13181620,12381617
13183261,13027612
13184051,14859526
13184051,13289266
13184497,14711107
13184663,13762957
13184793,14636641
13185075,13978341
13185587,13588614
13186071,14435786
13186173,13563461
13188951,14601498
13189535,13437044
13190003,14556873
13190003,13647159
13190557,14183596
13190628,14104459
13191997,13778102
13192057,13283985
13192655,13766638
13193060,14645437
13193060,14602978
13193060,14462373
13193060,14070727
13193060,14814850
13193076,14013267
13193076,14849765
13193076,13726558
13193337,13472344
13193728,12815382
13194817,13733734
13194843,13330172
13194980,14372897
13195376,14433210
13195412,14411560
13195441,14862879
13196052,14598775
13196052,13390077
13196654,14243777
13196662,13445353
13196740,12381556
13196740,14861788
13196740,14822633
13196760,13807274
13198458,14373532
13198812,13903521
13198812,13554092
13198825,14077732
13199089,14072396
13199089,13530878
13199218,14507075
13199218,13978269
13199726,13294074
13201479,13964628
13201806,13959401
13202082,14076594
13202082,13792882
13202175,13805636
13202254,13973773
13202397,14729777
13202554,14655689
13202554,13171339
13202695,14470721
13203105,13439687
13203265,13573712
13203928,13824002
13204815,14220592
13205712,13962270
13210180,14842152
13210536,13176091
13210687,14569965
13212311,13887876
13212342,13657572
13212442,14484189
13212445,14288774
13213078,14502722
13213219,13657499
13213458,14118018
13213594,14623908
13213594,14618252
13213703,14587419
13213801,14491978
13213942,13729913
13216160,14064700
13216160,14701539
13217116,14286257
13217432,13637642
13217475,13380379
13217475,14413860
13217660,13312103
13217660,14243314
13217917,13620746
13218909,14456900
13219632,13958918
13219632,13649109
13219689,14043276
13219689,14391276
13219689,14859263
13219689,14063106
13219689,14530384
13219689,13478351
13219813,14505761
13221480,13836375
13221608,14467595
13222458,13777284
13222875,14555727
13223333,14265681
13223622,13257881
13223807,13487376
13223838,13319922
13225443,13455548
13225726,14119765
13225938,14058913
13226226,13446116
13226261,14654372
13226490,14035552
13227902,13652040
13228080,14185264
13228222,13388518
13229750,13650844
13229750,14528306
13231473,13825521
13231585,13641589
13232358,14455915
13232423,14787526
13233851,14645437
13234097,14552143
13234832,13415418
13234893,14464696
13234894,14010676
13235021,13499751
13238221,13669275
13238379,13485263
13238537,13709925
13238606,14308923
13240130,14272751
13241179,14199022
13241586,14880954
13241800,14497029
13242677,13115560
13242853,13622006
13242899,14608267
13245603,14730993
13245603,14562501
13245829,14226687
13246066,13589414
13246066,14473346
13246184,13837516
13246473,14544200
13246556,13253239
13246716,14029255
13246716,13057167
13246716,14011042
13246784,13849487
13247095,13457908
13247421,14174152
13248352,13935246
13248352,14580566
13248363,14570074
13249502,13752629
13249528,13757071
13249670,13552210
13249670,14440609
13249670,13813419
13250395,13049319
13250955,14363760
13250955,13471153
13251288,13421127
13251910,13834389
13253654,13602058
13254018,14785248
13254326,14430387
13255422,14029255
13256551,14456286
13257240,14332593
13257735,13616935
13257753,14602211
13257881,13223622
13257881,14084115
13260504,13260904
13260504,14260808
13260875,13374433
13261036,13817056
13261156,14087188
13262411,14327628
13262734,14000261
13263440,13776533
13264066,14450397
13264300,13180525
13264300,12977146
13264300,13311322
13264820,14823378
13264977,14512401
13265079,14478924
13265407,13551471
13265429,14368495
13265513,13839294
13265513,14682936
13265513,13747946
13266838,13094745
13267290,13921651
13267343,13017149
13267553,13398215
13269687,13346846
13269737,13587271
13271083,13723345
13271130,14503675
13271684,14671401
13272171,13125246
13272590,12277343
13272879,14036679
